protein_id,protein_name,nsnp,b,se,pval,fdr_q,bonf_thresh,bonf_sig,or
16304_6_LGR4_LGR4,LGR4,2,-0.018418010923066,0.0876297830665477,0.833527338969485,0.978745559831011,2.94985250737463e-05,FALSE,0.981750564114647
13697_51_GPD1_GPDA,GPD1,1,0.0497977917981073,0.237247634069401,0.833747323030103,0.978745559831011,2.94985250737463e-05,FALSE,1.05105854222874
7981_230_B3GALT6_B3GT6,B3GALT6,1,-0.0377148936170213,0.179782978723404,0.83383929511929,0.978745559831011,2.94985250737463e-05,FALSE,0.962987455626716
6367_66_FMOD_fibromodulin,FMOD,3,-0.0118613648337736,0.0565739081884079,0.833931953680176,0.978745559831011,2.94985250737463e-05,FALSE,0.988208703843751
8235_48_CHGB_SCG1,CHGB,1,-0.0227779324747651,0.108986773407588,0.834450410136081,0.978745559831011,2.94985250737463e-05,FALSE,0.977479526132691
9234_8_TWSG1_TWSG1,TWSG1,3,0.0164776910157745,0.0790251181806647,0.834829158838737,0.978745559831011,2.94985250737463e-05,FALSE,1.01661419690299
5703_26_OLFM1_NOE1,OLFM1,2,-0.0187618239849952,0.0904542723174943,0.835683601291481,0.978745559831011,2.94985250737463e-05,FALSE,0.9814130834656
5615_62_FAM172A_F172A,FAM172A,1,0.0510459710743802,0.246836776859504,0.836165658683401,0.978745559831011,2.94985250737463e-05,FALSE,1.05237127080918
3470_1_SELE_sE_Selectin,SELE,1,-0.0174065857885615,0.0842427209705373,0.836303350302075,0.978745559831011,2.94985250737463e-05,FALSE,0.982744033636337
4154_57_SELP_P_Selectin,SELP,3,0.00652216154191752,0.0317050805881157,0.837014750902148,0.978745559831011,2.94985250737463e-05,FALSE,1.0065434771536
11257_1_QDPR_DHPR,QDPR,3,-0.0170078540125795,0.0826799198492186,0.837019641574925,0.978745559831011,2.94985250737463e-05,FALSE,0.983135963042366
11708_2_LCN1_LCN1,LCN1,1,0.0293586695747001,0.143106870229008,0.837453321427901,0.978745559831011,2.94985250737463e-05,FALSE,1.02979388397911
3292_75_CD48_CD48,CD48,5,-0.00664292550230082,0.0326155428285233,0.838608562426882,0.978745559831011,2.94985250737463e-05,FALSE,0.993379089951333
4209_60_VTA1_DRG_1,VTA1,1,-0.0380667338709677,0.186906653225806,0.838613662722746,0.978745559831011,2.94985250737463e-05,FALSE,0.962648697473653
17514_48_RAB21_RAB21,RAB21,1,-0.0380021452650935,0.186915108795587,0.838890923090956,0.978745559831011,2.94985250737463e-05,FALSE,0.962710875618948
11219_95_FGFBP3_FGFP3,FGFBP3,3,0.00662119696623873,0.032794315804365,0.839994315506597,0.978745559831011,2.94985250737463e-05,FALSE,1.00664316555021
15452_5_NT5E_5__Nucleotidase,NT5E,4,0.00507943742679239,0.0255770580886291,0.842580740383516,0.978745559831011,2.94985250737463e-05,FALSE,1.005092359639
11208_15_NAGPA_NAGPA,NAGPA,3,0.0140551855140555,0.0710495485673234,0.84318409364024,0.978745559831011,2.94985250737463e-05,FALSE,1.01415442402747
8258_22_UXS1_UXS1,UXS1,1,-0.0138636146020347,0.070542788749252,0.844197125326579,0.978745559831011,2.94985250737463e-05,FALSE,0.986232042740474
7761_125_CHKB_CHKB,CHKB,4,0.0158614353818087,0.0807832698244438,0.844339713008596,0.978745559831011,2.94985250737463e-05,FALSE,1.01598789567723
5620_13_PAM_AMD,PAM,7,0.00388245869914527,0.0198301342654131,0.844777825019016,0.978745559831011,2.94985250737463e-05,FALSE,1.00389000520509
11681_8_AGFG1_NUPL,AGFG1,1,0.0198949222797927,0.101647046632124,0.844824999249338,0.978745559831011,2.94985250737463e-05,FALSE,1.02009414522778
9288_7_FKBP7_FKBP7,FKBP7,5,0.0064323804073635,0.0329075420676364,0.84502637329098,0.978745559831011,2.94985250737463e-05,FALSE,1.00645311259482
10512_13_CSF2RB_IL3RB,CSF2RB,6,-0.00513199316707512,0.0264447313347743,0.846125093717567,0.978745559831011,2.94985250737463e-05,FALSE,0.994881153011544
16773_29_SCUBE3_SCUB3,SCUBE3,2,-0.00949124785327766,0.0490210509082466,0.846476759794758,0.978745559831011,2.94985250737463e-05,FALSE,0.99055365187586
13717_15_FCN2_FCN2,FCN2,6,-0.00437588470838234,0.0226351696237464,0.846706505580647,0.978745559831011,2.94985250737463e-05,FALSE,0.995633675525198
4534_10_PRSS22_BSSP4,PRSS22,3,0.00769991465737445,0.0398448150529477,0.846765066244557,0.978745559831011,2.94985250737463e-05,FALSE,1.00772963523323
11531_24_C10orf54_GI24,VSIR,2,-0.00684494734167494,0.0357250964137818,0.848055128761443,0.978745559831011,2.94985250737463e-05,FALSE,0.993178425950323
7191_32_SLMAP_SLMAP,SLMAP,1,0.0407951167728238,0.212949044585987,0.848077321018983,0.978745559831011,2.94985250737463e-05,FALSE,1.04163866938935
8275_31_PEAR1_PEAR1,PEAR1,3,-0.00883485285366062,0.0463759317508833,0.848913324543245,0.978745559831011,2.94985250737463e-05,FALSE,0.991204059778699
15426_5_NEU1_NEUR1,NEU1,1,0.0380495495495495,0.200446846846847,0.849447332779647,0.978745559831011,2.94985250737463e-05,FALSE,1.03878270281834
9759_13_IDO1_INDO,IDO1,1,0.0324846153846154,0.171497435897436,0.849765610541184,0.978745559831011,2.94985250737463e-05,FALSE,1.0330180004371
4435_66_ENPP7_ENPP7,ENPP7,8,-0.00345435750481553,0.0182983237928065,0.850265250276531,0.978745559831011,2.94985250737463e-05,FALSE,0.996551601924096
