protein_id,protein_name,source,nsnp_exp,nsnp_used,ivw_b,ivw_se,ivw_pval,wm_b,wm_se,wm_pval,egg_b,egg_se,egg_pval,het_q,het_q_df,het_q_pval,egg_int,egg_int_se,egg_int_pval,bonf_thresh,bonf_sig,fdr_q,or,or_lci95,or_uci95,z
prot-a-1542,Interleukin-6 receptor subunit beta,prot-a,23,21,-0.0217328433602419,0.018809959721635,0.247930668127882,-0.00552039922362596,0.0247873131958772,0.823760693500021,-0.0109084092023339,0.0559507005294056,0.847490298816549,28.9601647918425,19,0.0666143019686238,-0.00225357094828226,0.0109353340201982,0.838919338038875,1.15048320294524e-05,FALSE,0.976535069110844,0.9785016133382,0.943083583617827,1.01524978690909,-1.15539021251837
prot-c-2484_49_3,"",prot-c,4,4,0.033068578758259,0.0286246903470684,0.24798942008605,0.0401689224974963,0.0307739877549602,0.19179473706074,0.207872168306836,0.107976243147128,0.19407944871042,1.79034470325683,2,0.408537180524353,-0.047656669339343,0.0287457071537675,0.23919941668321,1.15048320294524e-05,FALSE,0.976535069110844,1.03362142128436,0.977227484406752,1.09326974485012,1.1552466893898
prot-a-3040,Tumor necrosis factor receptor superfamily member 12A,prot-a,26,24,-0.0195653687522151,0.0169477209907299,0.248313979298078,-0.0267697011402741,0.0239068836820754,0.262820879684044,-0.0439082077915323,0.0320755042247287,0.184845781460957,23.6129866000838,22,0.367837731531436,0.0057434439035995,0.0064144176584353,0.380268094672237,1.15048320294524e-05,FALSE,0.976535069110844,0.980624790874509,0.948585926337678,1.01374578072261,-1.15445426337364
prot-a-561,Cold-inducible RNA-binding protein,prot-a,32,27,0.0143464743340889,0.0124370710944982,0.248694899664828,0.00067639983993171,0.0167911270402342,0.967867370575693,-0.0121450196179132,0.0230298267836308,0.602592470038128,28.6409502116842,25,0.279203063320981,0.00666339949420861,0.00490680550303151,0.186597265018278,1.15048320294524e-05,FALSE,0.976535069110844,1.01444987890224,0.990019949534949,1.03948264607009,1.15352515275364
prot-a-1446,Insulin-like growth factor-binding protein 1,prot-a,22,20,0.0216551591190807,0.0188194759554286,0.249864683193426,0.0395146738062038,0.0218448285900787,0.0704696462823295,0.0858897471384842,0.0317389232082757,0.0144620115945012,22.9804031061711,18,0.191344319104766,-0.0197878914440137,0.00828587741496548,0.0281017691790256,1.15048320294524e-05,FALSE,0.976535069110844,1.02189133379648,0.984884391480604,1.06028880863721,1.1506781150744
prot-a-647,Probable serine carboxypeptidase CPVL,prot-a,30,30,0.0164875337502281,0.0143383907096951,0.250190281667173,0.00330556468334338,0.0204560140655892,0.871625753977041,0.0304124862142935,0.0327532076278549,0.362009363208257,20.4656264242084,25,0.721994281728084,-0.00325695200869145,0.0068876814993792,0.640411068249614,1.15048320294524e-05,FALSE,0.976535069110844,1.01662420321582,0.988451489891231,1.04559989148069,1.14988732585449
prot-c-4452_9_2,"",prot-c,3,3,0.0331568445532265,0.0288514695428746,0.250463008024105,0.03421735456861,0.0359407474511693,0.341072105195847,0.0591586882982486,0.133023604168342,0.733601927021347,1.42287718242164,1,0.232930412931066,-0.00618504509040632,0.0305649472971508,0.872891657865606,1.15048320294524e-05,FALSE,0.976535069110844,1.03371265872732,0.976879437030629,1.09385234278362,1.14922550145856
prot-a-2438,Tyrosine-protein phosphatase non-receptor type 1,prot-a,21,21,0.0218810773949541,0.0190487069505141,0.250683436479323,0.0134119280607647,0.0237298217168004,0.571942527909078,0.026181234333616,0.0409831530215843,0.530979669591885,27.7790759649953,18,0.0654977268929894,-0.00102698442934957,0.00860071409593169,0.906275610547644,1.15048320294524e-05,FALSE,0.976535069110844,1.0221222238049,0.984664418016362,1.0610049690843,1.14869095586373
prot-a-1021,Protein FAM107B,prot-a,22,20,0.0198317020342194,0.0172732310436847,0.250919984478462,0.0170051171098068,0.0256526009571951,0.50739440360723,0.0728934002595649,0.0364822113385567,0.0610495151802545,14.7008765774316,18,0.682393249602715,-0.011398880696796,0.00690310435244356,0.116022038155985,1.15048320294524e-05,FALSE,0.976535069110844,1.02002965666393,0.986074045038264,1.0551545350061,1.14811768476113
prot-a-566,Creatine kinase M-type,prot-a,19,18,-0.0238712521983707,0.0208131405077991,0.251409818767763,-0.0107599248047002,0.026247667238872,0.681851188911968,0.0191308955214326,0.0504978890555736,0.710111259906661,18.2235583454865,15,0.251094915842892,-0.00843854079740799,0.00902135917711548,0.364400176142145,1.15048320294524e-05,FALSE,0.976535069110844,0.976411412488604,0.937381426446552,1.01706649986877,-1.14693177559752
